"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","46.7821","7.2179","508","11796649","2025-2026, National. Mother's Education: High school or equivalent","4","3","1","1","1","1010311","0","2025-2026"
"National","National","Age","6-23 months","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","34.6516","8.4381","427","5327675","2023-2024, National. Age: 6-23 months","4","2","1","1","3","3010204","0","2023-2024"
"Region","Region 3","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","22.5349","5.8947","398","6415591","2025-2026, Region 3. Overall (6 months-17 years)","2","1","4","2","1","1040101","0","2025-2026"
"National","National","Age","6-23 months","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","10.5843","5.0517","427","5327675","2023-2024, National. Age: 6-23 months","2","2","1","1","3","3010204","0","2023-2024"
"State","California","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","34.453","17.888","53","7214518","2025-2026, California. Overall (6 months-17 years)","4","1","16","3","1","1160101","0","2025-2026"
"National","National","Age","6-23 months","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","7.8096","4.135","427","5327675","2023-2024, National. Age: 6-23 months","3","2","1","1","3","3010204","0","2023-2024"
"State","South Dakota","Overall","Overall","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","11.8953","5.2521","915","448383","2025-2026, South Dakota. Overall (6 months-17 years)",,"1","55","3","1","1550101","0","2025-2026"
"National","National","Age","6-23 months","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","46.9546","1.7807","17447","5327675","2023-2024, National. Age: 6-23 months","1","2","1","1","3","3010204","0","2023-2024"
"National","National","Age","6-23 months","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","46.9546","1.7807","17447","5327675","2023-2024, National. Age: 6-23 months",,"2","1","1","3","3010204","0","2023-2024"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","24.3052","3.338","1860","33469745","2023-2024, National. Mother's Education: >= College degree","4","3","1","1","3","3010313","0","2023-2024"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.2369","2.446","1860","33469745","2023-2024, National. Mother's Education: >= College degree","2","3","1","1","3","3010313","0","2023-2024"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.7273","2.52","1860","33469745","2023-2024, National. Mother's Education: >= College degree","3","3","1","1","3","3010313","0","2023-2024"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","50.7306","0.8828","66184","33469745","2023-2024, National. Mother's Education: >= College degree","1","3","1","1","3","3010313","0","2023-2024"
"State","Connecticut","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.2716","12.6881","50","787516","2025-2026, Connecticut. Overall (6 months-17 years)","3","1","18","3","1","1180101","0","2025-2026"
"State","Arkansas","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","15.9727","5.7392","1071","1567595","2025-2026, Arkansas. Overall (6 months-17 years)","1","1","15","3","1","1150101","0","2025-2026"
"State","Oklahoma","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","23.1204","12.9865","83","1731679","2025-2026, Oklahoma. Overall (6 months-17 years)","3","1","49","3","1","1490101","0","2025-2026"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","38.0215","6.519","594","12026842","2023-2024, National. Mother's Education: High school or equivalent","4","3","1","1","3","3010311","0","2023-2024"
"National","National","Mother's Education",">= College degree","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","50.7306","0.8828","66184","33469745","2023-2024, National. Mother's Education: >= College degree",,"3","1","1","3","3010313","0","2023-2024"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.6826","4.0319","594","12026842","2023-2024, National. Mother's Education: High school or equivalent","2","3","1","1","3","3010311","0","2023-2024"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","18.4542","5.2639","594","12026842","2023-2024, National. Mother's Education: High school or equivalent","3","3","1","1","3","3010311","0","2023-2024"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","31.8417","1.3089","22466","12026842","2023-2024, National. Mother's Education: High school or equivalent","1","3","1","1","3","3010311","0","2023-2024"
"National","National","Mother's Education","High school or equivalent","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","31.8417","1.3089","22466","12026842","2023-2024, National. Mother's Education: High school or equivalent",,"3","1","1","3","3010311","0","2023-2024"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","20.7564","8.249","212","5366735","2023-2024, National. Mother's Education: Less than high school","4","3","1","1","3","3010310","0","2023-2024"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","16.1937","7.6127","212","5366735","2023-2024, National. Mother's Education: Less than high school","2","3","1","1","3","3010310","0","2023-2024"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","25.7452","9.8778","212","5366735","2023-2024, National. Mother's Education: Less than high school","3","3","1","1","3","3010310","0","2023-2024"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.3047","2.1341","8472","5366735","2023-2024, National. Mother's Education: Less than high school","1","3","1","1","3","3010310","0","2023-2024"
"National","National","Overall","Overall","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","41.6517","0.5862","134358","70335257","2023-2024, National. Overall (6 months-17 years)",,"1","1","1","3","3010101","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","41.0959","5.5091","850","15815703","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","3","3010415","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.8848","3.6959","850","15815703","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","3","3010415","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.0426","3.6314","850","15815703","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","3","3010415","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","33.9767","1.1536","30586","15815703","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","3","3010415","0","2023-2024"
"National","National","Mother's Education",">= College degree","Up-to-date","Yes","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","28.1965","2.9792","19183","32484688","2025-2026, National. Mother's Education: >= College degree",,"3","1","1","1","1010313","0","2025-2026"
"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","33.9767","1.1536","30586","15815703","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","3","3010415","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","26.1536","3.3565","1923","33772549","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","4","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.4413","2.5038","1923","33772549","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","2","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.9162","2.4928","1923","33772549","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","3","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","47.4888","0.8435","69842","33772549","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","1","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","47.4888","0.8435","69842","33772549","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",,"4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","27.8526","7.0387","463","10542229","2023-2024, National. Poverty Status: Below Poverty","4","4","1","1","3","3010416","0","2023-2024"
"State","North Dakota","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","15.651","10.7843","44","632914","2025-2026, North Dakota. Overall (6 months-17 years)","2","1","47","3","1","1470101","0","2025-2026"
"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","14.1833","4.9689","463","10542229","2023-2024, National. Poverty Status: Below Poverty","2","4","1","1","3","3010416","0","2023-2024"
"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","20.2049","6.8651","463","10542229","2023-2024, National. Poverty Status: Below Poverty","3","4","1","1","3","3010416","0","2023-2024"
"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.7592","1.5897","17228","10542229","2023-2024, National. Poverty Status: Below Poverty","1","4","1","1","3","3010416","0","2023-2024"
"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","18.494","2.6037","6954","12879356","2025-2026, National. Mother's Education: High school or equivalent","1","3","1","1","1","1010311","0","2025-2026"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","33.0966","7.0614","456","10204776","2023-2024, National. Poverty Status: Poverty Status Unknown","4","4","1","1","3","3010417","0","2023-2024"
"National","National","Poverty Status","Below Poverty","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.7592","1.5897","17228","10542229","2023-2024, National. Poverty Status: Below Poverty",,"4","1","1","3","3010416","0","2023-2024"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.3775","5.5943","456","10204776","2023-2024, National. Poverty Status: Poverty Status Unknown","2","4","1","1","3","3010417","0","2023-2024"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Probably will get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","19.2887","5.6531","733","17559932","2025-2026, National. Urbanicity: Urban MSA Principal City","3","6","1","1","1","1010624","0","2025-2026"
"Substate","New York-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","22.7654","14.3128","37","2164883","2025-2026, New York-Rest of State. Overall (6 months-17 years)","2","1","69","4","1","1690101","0","2025-2026"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","16.2881","5.8146","456","10204776","2023-2024, National. Poverty Status: Poverty Status Unknown","3","4","1","1","3","3010417","0","2023-2024"
"State","District of Columbia","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","14.0865","10.1063","72","253187","2025-2026, District of Columbia. Overall (6 months-17 years)","4","1","20","3","1","1200101","0","2025-2026"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.2378","1.5085","16702","10204776","2023-2024, National. Poverty Status: Poverty Status Unknown","1","4","1","1","3","3010417","0","2023-2024"
"National","National","Poverty Status","Poverty Status Unknown","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.2378","1.5085","16702","10204776","2023-2024, National. Poverty Status: Poverty Status Unknown",,"4","1","1","3","3010417","0","2023-2024"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","34.1719","8.5571","349","9732934","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","4","5","1","1","3","3010518","0","2023-2024"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","14.257","5.5363","349","9732934","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","2","5","1","1","3","3010518","0","2023-2024"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","16.0954","6.3237","349","9732934","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","3","5","1","1","3","3010518","0","2023-2024"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","35.4757","1.6581","12751","9732934","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","1","5","1","1","3","3010518","0","2023-2024"
"National","National","Race and Ethnicity","Black, Non-Hispanic","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","35.4757","1.6581","12751","9732934","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",,"5","1","1","3","3010518","0","2023-2024"
"Substate","Texas-Bexar County","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","19.5848","11.2519","80","1276291","2025-2026, Texas-Bexar County. Overall (6 months-17 years)","4","1","72","4","1","1720101","0","2025-2026"
"National","National","Age","5-11 years","4-level vaccination and intent","Definitely will get a vaccine","October Week 3","2025 Oct 18 12:00:00 AM","2025-10-18","23.0125","4.2088","892","28955318","2025-2026, National. Age: 5-11 years","2","2","1","1","1","1010206","0","2025-2026"
"National","National","Race and Ethnicity","Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","24.1798","4.6531","795","18183376","2023-2024, National. Race/Ethnicity: Hispanic","4","5","1","1","3","3010519","0","2023-2024"
"National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.5882","0.7687","72542","34459561","2023-2024, National. Race/Ethnicity: White, Non-Hispanic","1","5","1","1","3","3010520","0","2023-2024"
"National","National","Race and Ethnicity","White, Non-Hispanic","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.5882","0.7687","72542","34459561","2023-2024, National. Race/Ethnicity: White, Non-Hispanic",,"5","1","1","3","3010520","0","2023-2024"
"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","48.7936","7.543","541","8833684","2023-2024, National. Urbanicity: Rural (Non-MSA)","4","6","1","1","3","3010622","0","2023-2024"
"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","9.9691","4.9783","541","8833684","2023-2024, National. Urbanicity: Rural (Non-MSA)","2","6","1","1","3","3010622","0","2023-2024"
"State","Alabama","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","27.9926","12.3342","79","2748917","2025-2026, Alabama. Overall (6 months-17 years)","4","1","12","3","1","1120101","0","2025-2026"
"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","10.8029","4.6018","541","8833684","2023-2024, National. Urbanicity: Rural (Non-MSA)","3","6","1","1","3","3010622","0","2023-2024"
"State","North Carolina","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","28.9861","15.7637","50","1886554","2025-2026, North Carolina. Overall (6 months-17 years)","4","1","46","3","1","1460101","0","2025-2026"
"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","30.4344","1.2611","22857","8833684","2023-2024, National. Urbanicity: Rural (Non-MSA)","1","6","1","1","3","3010622","0","2023-2024"
"National","National","Urbanicity","Rural (Non-MSA)","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","30.4344","1.2611","22857","8833684","2023-2024, National. Urbanicity: Rural (Non-MSA)",,"6","1","1","3","3010622","0","2023-2024"
"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","30.2791","3.3905","1980","37425766","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","4","6","1","1","3","3010623","0","2023-2024"
"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.7074","2.4615","1980","37425766","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","2","6","1","1","3","3010623","0","2023-2024"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","35.2702","9.6499","358","8940053","2025-2026, National. Poverty Status: Poverty Status Unknown","4","4","1","1","1","1010417","0","2025-2026"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","33.074","8.3392","314","9885613","2025-2026, National. Race/Ethnicity: Black, Non-Hispanic","4","5","1","1","1","1010518","0","2025-2026"
"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.8042","2.5186","1980","37425766","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","3","6","1","1","3","3010623","0","2023-2024"
"National","National","Age","5-12 years","Up-to-date","Yes","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","28.9658","1.6311","13696","32766007","2025-2026, National. Age: 5-12 years",,"2","1","1","1","1010208","0","2025-2026"
"State","Puerto Rico","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","8.6604","6.3843","161","471665","2025-2026, Puerto Rico. Overall (6 months-17 years)","2","1","52","3","1","1520101","0","2025-2026"
"State","Georgia","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","22.9709","4.3253","681","1976825","2025-2026, Georgia. Overall (6 months-17 years)","1","1","22","3","1","1220101","0","2025-2026"
"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.2094","0.7927","65965","37425766","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","1","6","1","1","3","3010623","0","2023-2024"
"Region","Region 8","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","39.1071","9.8875","250","2840287","2025-2026, Region 8. Overall (6 months-17 years)","4","1","9","2","1","1090101","0","2025-2026"
"National","National","Urbanicity","Suburban (MSA Non-Principal City)","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.2094","0.7927","65965","37425766","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",,"6","1","1","3","3010623","0","2023-2024"
"Substate","Illinois-City of Chicago","Overall","Overall","Up-to-date","Yes","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","39.8857","6.7385","777","708907","2025-2026, Illinois-City of Chicago. Overall (6 months-17 years)",,"1","66","4","1","1660101","0","2025-2026"
"State","Rhode Island","Overall","Overall","Up-to-date","Yes","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","35.6152","6.4438","531","158328","2025-2026, Rhode Island. Overall (6 months-17 years)",,"1","53","3","1","1530101","0","2025-2026"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","25.1559","4.0513","1171","24075808","2023-2024, National. Urbanicity: Urban MSA Principal City","4","6","1","1","3","3010624","0","2023-2024"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.3907","3.1906","1171","24075808","2023-2024, National. Urbanicity: Urban MSA Principal City","2","6","1","1","3","3010624","0","2023-2024"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","16.5121","3.671","1171","24075808","2023-2024, National. Urbanicity: Urban MSA Principal City","3","6","1","1","3","3010624","0","2023-2024"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","44.9413","1.0971","45536","24075808","2023-2024, National. Urbanicity: Urban MSA Principal City","1","6","1","1","3","3010624","0","2023-2024"
"National","National","Urbanicity","Urban (MSA Principal City)","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","44.9413","1.0971","45536","24075808","2023-2024, National. Urbanicity: Urban MSA Principal City",,"6","1","1","3","3010624","0","2023-2024"
"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","18.3559","5.495","444","2796766","2023-2024, Region 1. Overall (6 months-17 years)","4","1","2","2","3","3020101","0","2023-2024"
